ingredients,instructions,time,title
"['2 large tomatoes, finely chopped', '5 green onions, chopped', '3 tablespoons olive oil', '3 ½ tablespoons tarragon vinegar', '1 (4 ounce) can chopped green chile peppers', '1 (2.25 ounce) can chopped black olives', '1 teaspoon garlic salt', '1 teaspoon salt']","In a medium bowl, mix together tomatoes, green onions, olive oil, tarragon vinegar, green chile peppers, black olives, garlic salt and salt. Cover and refrigerate 6 hours or overnight before serving.",370,Mexican Caviar
"['1 (16 ounce) package whole white button mushrooms', '2 scallions', '4 ounces cream cheese, softened', '¼ cup finely shredded sharp Cheddar cheese', '¼ teaspoon ground paprika', '1 pinch salt', 'cooking spray']","Using a damp cloth, gently clean mushrooms. Remove stems and discard.
Mince scallions and separate white and green parts.
Preheat an air fryer to 360 degrees F (182 degrees C).
Combine cream cheese, Cheddar cheese, the white parts from the scallions, paprika, and salt in a small bowl. Stuff filling into the mushrooms, pressing it in to fill the cavity with the back of a small spoon.
Spray the air fryer basket with cooking spray and set mushrooms inside. Depending on the size of your air fryer, you may have to do 2 batches.
Cook mushrooms until filling is lightly browned, about 8 minutes. Repeat with remaining mushrooms.
Sprinkle mushrooms with scallion greens and let cool for 5 minutes before serving.",35,Air Fryer Stuffed Mushrooms
"['6 large eggs', '2 tablespoons full-fat plain Greek yogurt', '1 teaspoon prepared yellow mustard', '1 teaspoon white vinegar', '½ teaspoon Worcestershire sauce', '¼ teaspoon white sugar', '¼ teaspoon everything bagel seasoning, or to taste', '1 teaspoon sliced scallion greens']","Place eggs in a saucepan and cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool under cold running water, and peel.
Slice eggs in half lengthwise and set the whites aside. Place yolks in a mini blender or food processor; pulse several times until finely chopped. Add yogurt, mustard, vinegar, Worcestershire sauce, and sugar and blend until smooth.
Transfer yolk mixture to pastry bag fitted with a large star tip and pipe filling into the egg whites (or stuff filling into egg whites with a spoon). Sprinkle with everything bagel seasoning and garnish with sliced scallions. Chill in the refrigerator until ready serve.",35,Everything Deviled Eggs
"['cooking spray', '24 (1 inch) cubes fresh pineapple', '24 water chestnut slices', '8 thick-cut bacon slices, cut crosswise into 3 pieces', '24 toothpicks', '½ cup low-fat sesame-ginger salad dressing', '1 tablespoon chopped green onion, or to taste']","Preheat oven to 375 degrees F (190 degrees C). Line the bottom section of a broiler pan with aluminum foil, top with the broiler rack, and spray rack with cooking spray.
Place a water chestnut slice atop each pineapple cube; wrap each with 1 bacon slice, securing with a toothpick. Arrange wrapped pineapple on the prepared broiler rack.
Bake in the preheated oven for 7 minutes; turn and continue baking until bacon is almost crisp, about 8 more minutes. Brush rumaki with sesame-ginger dressing and continue baking until bacon is crisp, about 5 more minutes. Garnish rumaki with green onion.",40,Easy Rumaki with Pineapple
"['⅓ cup water', '2 tablespoons unsalted butter', '1 teaspoon kosher salt', '⅓ cup all-purpose flour', '1 large egg', '1 pinch cayenne pepper', '1 pinch freshly ground black pepper', '½ teaspoon dried oregano', '1 cup marinara sauce, or to taste', '½ teaspoon red pepper flakes', '1 teaspoon balsamic vinegar', '4 ounces low-moisture mozzarella cheese', '4 cups canola oil for frying', '1 anchovy fillet']","Combine water, butter, and salt in a saucepan over medium-high heat. Bring to a simmer; pour in flour all at once and reduce heat to medium. Stir with a wooden spoon or spatula until a dough starts coming together. Cook, scraping up and stirring the dough, for 2 to 3 minutes.
Remove from heat; transfer dough to a mixing bowl. Let cool until no longer hot but still very warm, 5 to 10 minutes. Add egg and season with cayenne and freshly ground black pepper. Whisk vigorously until mixture combines into a very soft, sticky dough. Switch to a spatula and scrape dough into a ball.
Seal dough and spatula with plastic wrap and refrigerate in the bowl until cool, about 1 hour.
In the meantime, season marinara sauce with oregano, red pepper flakes, balsamic vinegar in a small pot over medium heat. Add anchovy fillet. Stir together and bring to a simmer. Let simmer for 10 minutes; turn off heat and let sit until ready to use.
Grate mozzarella cheese over the dough and stir to combine.
Heat oil to 350 degrees F (175 degrees C) in a deep fryer or heavy-duty pan over medium heat. Preheat oven to 200 degrees F (93 degrees C) or any temperature for keeping warm.
Scoop out about 2 tablespoons of dough per puff and form into a football shape using two spoons. Fry puffs, 5 or 6 at a time, in the hot oil until browned, 2 to 3 minutes. Drain on paper towels. Keep puffs warm in low oven while frying the rest. Serve with hot marinara sauce.",100,Fried Mozzarella Puffs
"['24 slices French baguette', '1 tablespoon butter, softened', '2 cups chopped fresh strawberries', '¼ cup white sugar, or as needed']","Preheat your oven's broiler. Spread a thin layer of butter on each slice of bread. Arrange bread slices in a single layer on a large baking sheet.
Place bread under the broiler for 1 to 2 minutes, just until lightly toasted. Spoon some chopped strawberries onto each piece of toast, then sprinkle sugar over the strawberries.
Place under the broiler again until sugar is caramelized, 3 to 5 minutes. Serve immediately.",15,Strawberry Bruschetta
"['1 sweet onion, cut into quarters', '8 cloves garlic, or more to taste', '1 (14 ounce) can artichoke hearts, drained and chopped', '1 (10 ounce) package frozen chopped spinach, thawed and drained', '1 (8 ounce) package shredded Parmesan cheese', '1 (1.4 ounce) package dry vegetable soup mix (such as Knorr&reg;)', '1 (8 ounce) package reduced-fat cream cheese, softened', '1 cup reduced-fat mayonnaise', '1 (8 ounce) container reduced-fat sour cream']","Blend onion and garlic in a food processor until finely chopped. Add artichoke hearts; process until chopped. Add spinach, Parmesan cheese, and vegetable soup mix; process until well incorporated. Transfer mixture to a nonmetallic bowl.
Blend cream cheese, mayonnaise, and sour cream in the food processor until smooth; stir into artichoke mixture.",20,Amazing No Cook Spinach Artichoke Dip
"['6 tablespoons unsalted butter, softened', '1/4 cup olive oil', '1 tablespoon minced garlic', '1 tablespoon minced shallots', '2 tablespoons minced fresh chives', 'salt and freshly ground black pepper to taste', '1/2 teaspoon paprika', '2 pounds large shrimp - peeled and deveined']","Preheat grill for high heat.
In a large bowl, mix together softened butter, olive oil, garlic, shallots, chives, salt, pepper, and paprika; add the shrimp, and toss to coat.
Lightly oil grill grate. Cook the shrimp as close to the flame as possible for 2 to 3 minutes per side, or until opaque.",21,Garlicky Appetizer Shrimp Scampi
"['6 canned artichoke hearts, drained and halved', '1 teaspoon vegetable oil', 'salt and freshly ground black pepper to taste', '2 tablespoons dry bread crumbs', '¼ cup finely grated Parmigiano-Reggiano cheese', '1 tablespoon olive oil', '½ lemon, cut into wedges']","Place artichoke heart halves on a paper towel cut-side down to drain for about 15 minutes.
Set oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a baking sheet with aluminum foil and lightly coat with vegetable oil.
Place artichoke heart halves on the prepared baking sheet, cut side up. Season with salt and pepper, sprinkle with breadcrumbs and Parmigiano-Reggiano cheese, and drizzle with olive oil.
Broil artichoke hearts until browned on top, about 7 minutes. Serve with lemon wedges.",35,Artichoke Hearts Gratin
"['3 avocados - peeled, pitted, and mashed', '1 lime, juiced', '1 teaspoon salt', '½ cup diced onion', '3 tablespoons chopped fresh cilantro', '2 roma (plum) tomatoes, diced', '1 teaspoon minced garlic', '1 pinch ground cayenne pepper (optional)']","In a medium bowl, mash together the avocados, lime juice, and salt. Mix in onion, cilantro, tomatoes, and garlic. Stir in cayenne pepper. Refrigerate 1 hour for best flavor, or serve immediately.",10,Guacamole
